Month,date,tem,percit,Hum%
May,01/05/2022,31C,0.5mm,13%
,02/05/2022,31.4C,0.6mm,12%
,03/05/2022,31C,1.2mm,24%
,04/05/2022,30.3C,2.3mm,28%
,05/05/2022,29.2C,2.4mm,25%
,06/05/2022,30.5C,1.6mm,19%
,07/05/2022,30.9C,0.7mm,17%
,08/05/2022,32.1C,0.3mm,10%
,09/05/2022,32.5C,0.6mm,10%
,10/05/2022,32.6C,1mm,14%
,11/05/2022,31.9C,1.7mm,17%
,12/05/2022,30.8C,3.9mm,11%
,13/05/2022,30.5C,1.3mm,5%
,14/05/2022,31.7C,5.1mm,5%
,15/05/2022,31.8C,2.2mm,7%
,16/05/2022,32.5C,1.4mm,10%
,17/05/2022,31.5C,2.1mm,12%
,18/05/2022,33.1C,0.6mm,16%
,19/05/2022,33C,0.3mm,13%
,20/05/2022,33.1C,0.5mm,17%
,21/05/2022,33.7C,0.8mm,12%
,22/05/2022,34.5C,0.1mm,12%
,23/05/2022,33.5C,1mm,19%
,24/05/2022,34.2C,0.3mm,24%
,25/05/2022,34.9C,0.4mm,23%
,26/05/2022,35.3C,1.5mm,17%
,27/05/2022,35.5C,0.1mm,16%
,28/05/2022,35.7C,0.1mm,17%
,29/05/2022,36.1C,0.1mm,16%
,30/05/2022,36.1C,0.4mm,20%
,31/05/2022,35.5C,1.3mm,15%
june,01/06/2022,35C,0.2mm,18%
,02/06/2022,35.3C,0.8mm,11%
,03/06/2022,35.7C,0.3mm,9%
,04/06/2022,36.2C,0.2mm,8%
,05/06/2022,36.5C,0.5mm,8%
,06/06/2022,36.3C,0.1mm,7%
,07/06/2022,36.7C,0.2mm,9%
,08/06/2022,37.1C,0.3mm,9%
,09/06/2022,36.9C,4.2mm,9%
,10/06/2022,37C,0.1mm,11%
,11/06/2022,36.9C,0.6mm,10%
,12/06/2022,35.7C,0.9mm,14%
,13/06/2022,36.7C,0.5mm,18%
,14/06/2022,36.8C,2.4mm,16%
,15/06/2022,35.7C,3.2mm,14%
,16/06/2022,35.4C,0.5mm,20%
,17/06/2022,35.6C,0.3mm,37%
,18/06/2022,35.9C,0.2mm,35%
,19/06/2022,36.5C,0.5mm,42%
,20/06/2022,37.3C,1.1mm,39%
,21/06/2022,36.7C,0.4mm,54%
,22/06/2022,37.5C,0.1mm,63%
,23/06/2022,37.2C,0.8mm,24%
,24/06/2022,36.9C,0.4mm,16%
,25/06/2022,37C,0.9mm,15%
,26/06/2022,37C,0.6mm,17%
,27/06/2022,37.6C,0.5mm,12%
,28/06/2022,36.8C,1.3mm,12%
,29/06/2022,36.3C,1.5mm,11%
,30/06/2022,37.1C,2mm,26%
july,01/07/2022,37.3C,2.1mm,48%
,02/07/2022,37C,1.7mm,48%
,03/07/2022,36.7C,1.8mm,49%
,04/07/2022,37C,1.4mm,39%
,05/07/2022,36.5C,0.9mm,44%
,06/07/2022,37C,0.8mm,46%
,07/07/2022,36.7C,1.5mm,59%
,08/07/2022,37.1C,1.4mm,48%
,09/07/2022,37.5C,2mm,55%
,10/07/2022,37.2C,1.6mm,64%
,11/07/2022,37.8C,0.2mm,62%
,12/07/2022,36.5C,1mm,51%
,13/07/2022,35.7C,2.4mm,49%
,14/07/2022,35.7C,4.2mm,47%
,15/07/2022,36.3C,1.9mm,47%
,16/07/2022,36C,4mm,37%
,17/07/2022,35.7C,2.7mm,35%
,18/07/2022,36.1C,3.2mm,36%
,19/07/2022,35.7C,9.1mm,33%
,20/07/2022,35.3C,3.5mm,38%
,21/07/2022,34.7C,13.1mm,77%
,22/07/2022,35.2C,6.1mm,51%
,23/07/2022,35.9C,0.2mm,58%
,24/07/2022,35.8C,1.3mm,52%
,25/07/2022,35.3C,4.5mm,60%
,26/07/2022,34.8C,4.4mm,59%
,27/07/2022,34.9C,3.9mm,50%
,28/07/2022,34.1C,15.2mm,56%
,29/07/2022,34.1C,25.2mm,69%
,30/07/2022,34.7C,3.8mm,57%
,31/07/2022,35.2C,2.4mm,55%
Aug,01/08/2022,34.7C,3.6mm,61%
,02/08/2022,34.4C,10.3mm,51%
,03/08/2022,34.5C,7.9mm,51%
,04/08/2022,34.7C,3.5mm,39%
,05/08/2022,35.7C,1.3mm,43%
,06/08/2022,35.7C, 3.8mm,53%
,07/08/2022,35.3C,6mm,41%
,08/08/2022,34.5C,4.8mm,54%
,09/08/2022,34.7C,1.8mm,51%
,10/08/2022,34.3C,4mm,40%
,11/08/2022,34.8C,4.9mm,36%
,12/08/2022,35.2C,1.9mm,72%
,13/08/2022,34.9C,3.3mm,41%
,14/08/2022,33.7C,8mm,39%
,15/08/2022,33.8C,5.4mm,44%
